zip,State,cohort_population,total_population,pop_density,total_population_2019,cohort_population_2019,pop_density_2019,cohort_pop_change,cohort_pop_change_pc,pc_total_ethnicity,c_p_rank,c_pd_rank,c_yoy_rank,zip_code_rank
99901,AK,10,10740,0.09%,10365,20,0.19%,375,1875.00%,0.00%,179075,10664,2100,9222
99840,AK,4,1104,0.36%,930,0,0.00%,174,0.00%,0.00%,196976,7359,6033,10963
99835,AK,6,7574,0.08%,7655,14,0.18%,-81,-578.57%,0.00%,190740,10861,35855,38278
99833,AK,37,3139,1.18%,2916,19,0.65%,223,1173.68%,0.00%,139136,3455,2716,5951
99829,,20,490,4.08%,431,9,2.09%,59,655.56%,0.00%,159334,1052,3516,6971
99801,AK,151,24648,0.61%,25646,160,0.62%,-998,-623.75%,0.00%,89574,5539,35955,5212
99775,,149,1104,13.50%,1238,31,2.50%,-134,-432.26%,0.00%,90054,207,35546,4559
99764,,130,186,69.89%,176,108,61.36%,10,9.26%,0.00%,94720,1,5933,2988
99755,,7,311,2.25%,403,8,1.99%,-92,-1150.00%,0.00%,187653,1898,36773,11568
99723,AK,80,1394,5.74%,1237,45,3.64%,157,348.89%,0.00%,111786,675,4266,3988
99712,,78,9807,0.80%,10929,81,0.74%,-1122,-1385.19%,0.00%,112716,4670,37022,6595
99709,AK,216,21824,0.99%,23451,215,0.92%,-1627,-756.74%,0.00%,77781,3966,36211,4294
99702,AK,3,2855,0.11%,2585,11,0.43%,270,2454.55%,0.00%,200287,10480,1735,11266
99701,AK,100,13371,0.75%,12763,66,0.52%,608,921.21%,0.00%,103855,4885,3057,3955
99694,,9,1198,0.75%,1223,0,0.00%,-25,0.00%,0.00%,181716,4871,6033,8922
99693,,16,233,6.87%,214,6,2.80%,19,316.67%,0.00%,166155,541,4364,7400
99685,,5,3318,0.15%,3617,6,0.17%,-299,-4983.33%,0.00%,193878,9798,38536,38367
99671,,2,63,3.17%,77,1,1.30%,-14,-1400.00%,0.00%,203648,1346,37035,38165
99669,AK,32,14690,0.22%,14433,14,0.10%,257,1835.71%,0.00%,144181,8910,2128,6918
99654,AK,69,33495,0.21%,50582,99,0.20%,-17087,-17259.60%,0.00%,117209,9067,39285,7586
99652,,9,2926,0.31%,2493,6,0.24%,433,7216.67%,0.00%,181716,7891,651,8960
99645,AK,58,23193,0.25%,24017,56,0.23%,-824,-1471.43%,0.00%,123498,8527,37110,7753
99639,,5,984,0.51%,965,0,0.00%,19,0.00%,0.00%,193878,6206,6033,9797
99623,AK,51,17852,0.29%,0,0,NaN,17852,0.00%,0.00%,127917,8116,6033,6042
99615,AK,4,10119,0.04%,10780,17,0.16%,-661,-3888.24%,0.00%,196976,11480,38285,38513
99611,AK,48,11725,0.41%,12254,0,0.00%,-529,0.00%,0.00%,130082,6937,6033,6032
99610,AK,3,2141,0.14%,2080,9,0.43%,61,677.78%,0.00%,200287,9935,3467,11307
99603,AK,18,10195,0.18%,9698,17,0.18%,497,2923.53%,0.00%,162669,9439,1520,8069
99577,AK,131,23903,0.55%,24849,0,0.00%,-946,0.00%,0.00%,94447,5937,6033,3688
99567,AK,3,6425,0.05%,8787,48,0.55%,-2362,-4920.83%,0.00%,200287,11374,38519,38586
99556,AK,7,2717,0.26%,2495,7,0.28%,222,3171.43%,0.00%,187653,8450,1433,9445
99518,,53,8017,0.66%,8852,80,0.90%,-835,-1043.75%,0.00%,126580,5304,36655,7540
99517,AK,222,13880,1.60%,13623,149,1.09%,257,172.48%,0.01%,76913,2606,4933,2269
99516,,124,19824,0.63%,19916,85,0.43%,-92,-108.24%,0.00%,96365,5478,34355,5514
99515,AK,45,19126,0.24%,19995,93,0.47%,-869,-934.41%,0.00%,132388,8706,36497,8258
99508,AK,76,25878,0.29%,25442,72,0.28%,436,605.56%,0.00%,113663,8040,3622,5010
99507,AK,259,29988,0.86%,31260,334,1.07%,-1272,-380.84%,0.01%,71888,4398,35390,3917
99505,,32,4637,0.69%,4110,18,0.44%,527,2927.78%,0.00%,144181,5151,1516,6406
99504,AK,144,32830,0.44%,33304,108,0.32%,-474,-438.89%,0.00%,91226,6710,35564,5424
99503,AK,80,9943,0.80%,9536,47,0.49%,407,865.96%,0.00%,111786,4632,3151,4438
99502,AK,180,19552,0.92%,19689,182,0.92%,-137,-75.27%,0.00%,83692,4183,34172,4571
99501,AK,129,11758,1.10%,11929,112,0.94%,-171,-152.68%,0.00%,94974,3645,34568,5222
99403,WA,11,15492,0.07%,15943,10,0.06%,-451,-4510.00%,0.00%,176579,10985,38439,12465
99402,,7,1018,0.69%,1042,3,0.29%,-24,-800.00%,0.00%,187653,5164,36299,11894
99362,WA,302,42469,0.71%,40413,297,0.73%,2056,692.26%,0.01%,67221,5069,3449,1938
99354,WA,370,25972,1.42%,24405,313,1.28%,1567,500.64%,0.01%,61267,2932,3865,1457
99353,WA,62,17142,0.36%,16110,63,0.39%,1032,1638.10%,0.00%,121037,7367,2272,5296
99352,WA,246,37609,0.65%,33944,167,0.49%,3665,2194.61%,0.01%,73565,5339,1868,2215
99337,WA,143,32671,0.44%,32876,67,0.20%,-205,-305.97%,0.00%,91470,6713,35163,5414
99336,WA,275,51283,0.54%,50183,136,0.27%,1100,808.82%,0.01%,70037,6011,3242,2169
99324,WA,14,9347,0.15%,9659,16,0.17%,-312,-1950.00%,0.00%,170039,9809,37490,11505
99320,WA,12,9742,0.12%,10177,3,0.03%,-435,-14500.00%,0.00%,174279,10209,39235,11859
99301,WA,98,79131,0.12%,75038,62,0.08%,4093,6601.61%,0.00%,104577,10201,717,4534
99251,,12,1572,0.76%,0,0,NaN,1572,0.00%,0.00%,174279,4809,6033,8482
99224,WA,170,20985,0.81%,19372,104,0.54%,1613,1550.96%,0.00%,85676,4605,2342,2794
99223,WA,102,32018,0.32%,29908,233,0.78%,2110,905.58%,0.00%,103164,7787,3081,4280
99218,WA,5,14314,0.03%,17954,24,0.13%,-3640,-15166.67%,0.00%,193878,11551,39250,38467
99217,,83,17659,0.47%,15059,54,0.36%,2600,4814.81%,0.00%,110515,6480,988,4452
99212,WA,46,17970,0.26%,18882,37,0.20%,-912,-2464.86%,0.00%,131583,8458,37773,8257
99208,WA,175,55024,0.32%,55462,143,0.26%,-438,-306.29%,0.00%,84671,7792,35164,5133
99207,WA,18,27610,0.07%,28080,72,0.26%,-470,-652.78%,0.00%,162669,11074,36013,11133
99206,WA,44,36991,0.12%,34999,28,0.08%,1992,7114.29%,0.00%,133168,10265,660,6295
99205,WA,70,40428,0.17%,42962,66,0.15%,-2534,-3839.39%,0.00%,116684,9488,38272,7548
99204,WA,25,7816,0.32%,7057,19,0.27%,759,3994.74%,0.00%,152390,7777,1168,7233
99203,WA,172,21858,0.79%,21717,110,0.51%,141,128.18%,0.00%,85269,4702,5139,2942
99202,WA,70,20033,0.35%,20844,65,0.31%,-811,-1247.69%,0.00%,116684,7464,36875,7193
99201,WA,53,12874,0.41%,12454,28,0.22%,420,1500.00%,0.00%,126580,6916,2395,5590
99169,WA,7,2478,0.28%,2518,11,0.44%,-40,-363.64%,0.00%,187653,8147,35341,12659
99163,WA,2049,32220,6.36%,31542,2130,6.75%,678,31.83%,0.05%,24515,601,5749,224
99161,WA,15,1404,1.07%,1276,22,1.72%,128,581.82%,0.00%,168033,3735,3668,7835
99159,WA,9,1355,0.66%,1657,13,0.78%,-302,-2323.08%,0.00%,181716,5284,37693,11659
99150,,2,258,0.78%,464,0,0.00%,-206,0.00%,0.00%,203648,4761,6033,11040
99137,WA,8,397,2.02%,354,7,1.98%,43,614.29%,0.00%,184591,2104,3600,8636
99129,,18,302,5.96%,375,0,0.00%,-73,0.00%,0.00%,162669,645,6033,7287
99116,WA,5,986,0.51%,893,11,1.23%,93,845.45%,0.00%,193878,6217,3184,9651
99102,,4,440,0.91%,407,0,0.00%,33,0.00%,0.00%,196976,4221,6033,9751
99037,WA,19,13741,0.14%,14316,41,0.29%,-575,-1402.44%,0.00%,160988,9967,37039,10984
99025,,35,5797,0.60%,4917,41,0.83%,880,2146.34%,0.00%,141014,5598,1895,6291
99022,WA,7,7517,0.09%,7800,20,0.26%,-283,-1415.00%,0.00%,187653,10663,37053,38223
99021,WA,6,10794,0.06%,11673,8,0.07%,-879,-10987.50%,0.00%,190740,11229,39107,38375
99019,WA,32,12842,0.25%,12376,56,0.45%,466,832.14%,0.00%,144181,8537,3206,6937
99016,,23,19255,0.12%,15607,0,0.00%,3648,0.00%,0.00%,155040,10257,6033,7986
99011,WA,31,3127,0.99%,3109,37,1.19%,18,48.65%,0.00%,145282,3955,5633,6579
99006,WA,13,14546,0.09%,13439,26,0.19%,1107,4257.69%,0.00%,172102,10717,1096,8760
99004,WA,27,21784,0.12%,20334,202,0.99%,1450,717.82%,0.00%,149908,10198,3402,7532
99001,WA,39,6430,0.61%,5426,13,0.24%,1004,7723.08%,0.00%,137376,5577,600,5976
98948,WA,8,11302,0.07%,11404,8,0.07%,-102,-1275.00%,0.00%,184591,10987,36899,38169
98942,WA,33,15193,0.22%,15767,17,0.11%,-574,-3376.47%,0.00%,143140,8917,38136,9006
98936,WA,1,6672,0.01%,6024,1,0.02%,648,64799.99%,0.00%,207192,11771,26,11703
98930,WA,17,14693,0.12%,14853,23,0.15%,-160,-695.65%,0.00%,164328,10315,36100,11141
98926,WA,156,27571,0.57%,28286,63,0.22%,-715,-1134.92%,0.00%,88510,5818,36756,5229
98908,WA,98,36432,0.27%,34776,200,0.58%,1656,828.00%,0.00%,104577,8316,3212,4448
98902,WA,53,40594,0.13%,43344,45,0.10%,-2750,-6111.11%,0.00%,126580,10079,38718,8208
98901,WA,17,29436,0.06%,30360,22,0.07%,-924,-4200.00%,0.00%,164328,11196,38367,11397
98837,WA,72,39148,0.18%,40106,29,0.07%,-958,-3303.45%,0.00%,115635,9336,38115,7449
98826,WA,3,7211,0.04%,7324,0,0.00%,-113,0.00%,0.00%,200287,11452,6033,11611
98823,WA,5,11160,0.04%,9701,4,0.04%,1459,36475.00%,0.00%,193878,11402,71,10895
98802,WA,96,31264,0.31%,30735,88,0.29%,529,601.14%,0.00%,105254,7896,3637,4465
98801,WA,105,43415,0.24%,41668,97,0.23%,1747,1801.03%,0.00%,102132,8630,2148,4259
98686,WA,321,19868,1.62%,20586,230,1.12%,-718,-312.17%,0.01%,65401,2589,35184,3295
98685,WA,501,28792,1.74%,30145,380,1.26%,-1353,-356.05%,0.01%,53172,2405,35318,2602
98684,WA,358,31874,1.12%,27413,386,1.41%,4461,1155.70%,0.01%,62209,3580,2739,1503
98683,WA,1385,32221,4.30%,34130,1068,3.13%,-1909,-178.75%,0.03%,30895,994,34677,1323
98682,WA,257,59616,0.43%,55892,252,0.45%,3724,1477.78%,0.01%,72130,6771,2420,2322
98674,WA,9,14261,0.06%,12521,13,0.10%,1740,13384.62%,0.00%,181716,11107,304,9323
98672,WA,4,7209,0.06%,7147,2,0.03%,62,3100.00%,0.00%,196976,11230,1464,11137
98671,WA,109,21617,0.50%,21325,168,0.79%,292,173.81%,0.00%,100866,6240,4930,4050
98665,WA,297,26695,1.11%,26081,110,0.42%,614,558.18%,0.01%,67731,3610,3720,1830
98664,WA,59,22831,0.26%,23694,201,0.85%,-863,-429.35%,0.00%,122882,8434,35535,7614
98663,WA,69,14010,0.49%,14544,86,0.59%,-534,-620.93%,0.00%,117209,6321,35948,7025
98662,WA,308,30443,1.01%,27881,91,0.33%,2562,2815.38%,0.01%,66610,3890,1562,1707
98661,WA,213,45346,0.47%,43118,350,0.81%,2228,636.57%,0.00%,78221,6482,3548,2673
98660,WA,68,11581,0.59%,12356,220,1.78%,-775,-352.27%,0.00%,117695,5696,35313,6933
98648,WA,30,2936,1.02%,2890,7,0.24%,46,657.14%,0.00%,146389,3866,3509,6510
98643,,9,361,2.49%,479,8,1.67%,-118,-1475.00%,0.00%,181716,1709,37111,11219
98642,WA,111,19102,0.58%,18481,140,0.76%,621,443.57%,0.00%,100233,5729,4022,3890
98640,WA,56,4782,1.17%,4984,36,0.72%,-202,-561.11%,0.00%,124712,3478,35823,7126
98639,,6,1195,0.50%,908,10,1.10%,287,2870.00%,0.00%,190740,6251,1539,9359
98638,WA,4,1029,0.39%,1233,5,0.41%,-204,-4080.00%,0.00%,196976,7128,38336,38321
98632,WA,94,45981,0.20%,48587,94,0.19%,-2606,-2772.34%,0.00%,105996,9089,37918,6791
98631,WA,3,3210,0.09%,3423,1,0.03%,-213,-21300.00%,0.00%,200287,10653,39345,38573
98629,,22,9393,0.23%,9608,51,0.53%,-215,-421.57%,0.00%,156355,8722,35522,9640
98626,WA,131,23786,0.55%,22265,129,0.58%,1521,1179.07%,0.00%,94447,5918,2701,3489
98613,,5,595,0.84%,404,4,0.99%,191,4775.00%,0.00%,193878,4484,995,9306
98612,WA,1,2803,0.04%,2556,0,0.00%,247,0.00%,0.00%,207192,11540,6033,12323
98611,WA,5,8258,0.06%,8635,0,0.00%,-377,0.00%,0.00%,193878,11148,6033,11214
98607,WA,1268,33283,3.81%,31413,989,3.15%,1870,189.08%,0.03%,32471,1116,4857,381
98606,,12,10005,0.12%,9184,44,0.48%,821,1865.91%,0.00%,174279,10252,2108,8881
98604,WA,38,36306,0.10%,37331,106,0.28%,-1025,-966.98%,0.00%,138232,10486,36550,8816
98596,WA,61,8099,0.75%,8014,105,1.31%,85,80.95%,0.00%,121614,4856,5420,5217
98584,WA,65,32592,0.20%,31907,144,0.45%,685,475.69%,0.00%,119363,9149,3928,5510
98580,,41,9134,0.45%,9196,41,0.45%,-62,-151.22%,0.00%,135641,6634,34561,8094
98579,WA,53,11758,0.45%,11316,0,0.00%,442,0.00%,0.00%,126580,6625,6033,5775
98568,WA,10,1948,0.51%,1632,0,0.00%,316,0.00%,0.00%,179075,6180,6033,8920
98565,WA,1,295,0.34%,871,0,0.00%,-576,0.00%,0.00%,207192,7572,6033,11573
98557,WA,24,2971,0.81%,2976,0,0.00%,-5,0.00%,0.00%,153724,4617,6033,7226
98550,WA,97,9453,1.03%,9445,3,0.03%,8,266.67%,0.00%,104898,3856,4528,3976
98537,,67,2312,2.90%,1754,0,0.00%,558,0.00%,0.00%,118210,1477,6033,4636
98532,WA,46,23977,0.19%,21661,121,0.56%,2316,1914.05%,0.00%,131583,9238,2065,6165
98531,WA,13,24579,0.05%,25044,24,0.10%,-465,-1937.50%,0.00%,172102,11269,37480,11775
98520,WA,8,18727,0.04%,19004,33,0.17%,-277,-839.39%,0.00%,184591,11438,36366,38178
98516,WA,346,23876,1.45%,25090,269,1.07%,-1214,-451.30%,0.01%,63133,2893,35593,3215
98513,WA,43,31502,0.14%,30729,207,0.67%,773,373.43%,0.00%,133990,9990,4202,6546
98512,WA,220,27804,0.79%,28811,211,0.73%,-1007,-477.25%,0.00%,77196,4688,35642,4306
98506,WA,1,17083,0.01%,15844,0,0.00%,1239,0.00%,0.00%,207192,11849,6033,12455
98505,,9,138,6.52%,0,0,NaN,138,0.00%,0.00%,181716,579,6033,8418
98503,WA,175,39536,0.44%,36009,169,0.47%,3527,2086.98%,0.00%,84671,6680,1940,2946
98502,WA,396,35664,1.11%,32958,368,1.12%,2706,735.33%,0.01%,59478,3615,3364,1420
98501,WA,539,44642,1.21%,42869,390,0.91%,1773,454.62%,0.01%,51293,3384,3995,1083
98499,WA,149,25469,0.59%,23816,173,0.73%,1653,955.49%,0.00%,90054,5706,3007,3212
98498,WA,150,24157,0.62%,23698,108,0.46%,459,425.00%,0.00%,89818,5499,4075,3235
98467,WA,136,14060,0.97%,14934,168,1.12%,-874,-520.24%,0.00%,93171,4042,35735,5236
98466,WA,512,28727,1.78%,26341,510,1.94%,2386,467.84%,0.01%,52618,2341,3943,1054
98447,,104,1376,7.56%,829,34,4.10%,547,1608.82%,0.00%,102471,487,2293,3293
98445,,18,25952,0.07%,27777,130,0.47%,-1825,-1403.85%,0.00%,162669,11013,37042,11187
98444,WA,129,25158,0.51%,25800,128,0.50%,-642,-501.56%,0.00%,94974,6183,35700,5601
98438,WA,8,451,1.77%,564,8,1.42%,-113,-1412.50%,0.00%,184591,2352,37051,11464
98433,WA,214,14563,1.47%,15389,233,1.51%,-826,-354.51%,0.00%,78074,2852,35316,4102
98424,WA,82,8770,0.94%,9097,76,0.84%,-327,-430.26%,0.00%,110918,4140,35537,6320
98422,WA,358,19480,1.84%,20481,251,1.23%,-1001,-398.80%,0.01%,62209,2281,35445,3088
98421,,24,868,2.76%,1482,19,1.28%,-614,-3231.58%,0.00%,153724,1549,38086,8775
98418,WA,8,7827,0.10%,7918,15,0.19%,-91,-606.67%,0.00%,184591,10526,35919,38130
98416,,45,987,4.56%,1044,42,4.02%,-57,-135.71%,0.00%,132388,935,34488,7206
98409,WA,41,20754,0.20%,20158,28,0.14%,596,2128.57%,0.00%,135641,9177,1906,6401
98408,WA,59,17404,0.34%,16427,55,0.33%,977,1776.36%,0.00%,122882,7571,2169,5423
98407,WA,83,22018,0.38%,22016,124,0.56%,2,1.61%,0.00%,110515,7225,6015,4876
98406,WA,117,21203,0.55%,23917,171,0.71%,-2714,-1587.13%,0.00%,98380,5912,37203,5866
98405,WA,63,21573,0.29%,20919,69,0.33%,654,947.83%,0.00%,120464,8058,3015,5392
98404,WA,66,26633,0.25%,28129,61,0.22%,-1496,-2452.46%,0.00%,118785,8559,37770,7531
98403,WA,142,9542,1.49%,9442,142,1.50%,100,70.42%,0.00%,91698,2821,5496,3110
98402,,97,6642,1.46%,6392,82,1.28%,250,304.88%,0.00%,104898,2874,4401,3843
98392,WA,5,3211,0.16%,3299,6,0.18%,-88,-1466.67%,0.00%,193878,9731,37105,38338
98391,WA,214,52550,0.41%,49377,177,0.36%,3173,1792.66%,0.00%,78074,6957,2159,2647
98388,,62,7127,0.87%,6053,55,0.91%,1074,1952.73%,0.00%,121037,4374,2034,4927
98387,WA,98,37077,0.26%,35260,42,0.12%,1817,4326.19%,0.00%,104577,8356,1078,4314
98383,WA,129,21945,0.59%,21642,268,1.24%,303,113.06%,0.00%,94974,5692,5210,3635
98382,WA,185,30036,0.62%,29184,158,0.54%,852,539.24%,0.00%,82839,5526,3773,2824
98380,,44,4883,0.90%,3918,0,0.00%,965,0.00%,0.00%,133168,4256,6033,5888
98376,,11,2219,0.50%,2137,9,0.42%,82,911.11%,0.00%,176579,6301,3073,8629
98375,WA,131,25855,0.51%,27264,141,0.52%,-1409,-999.29%,0.00%,94447,6220,36600,5633
98374,WA,262,39363,0.67%,40126,177,0.44%,-763,-431.07%,0.01%,71552,5276,35540,4006
98373,WA,211,27740,0.76%,25678,214,0.83%,2062,963.55%,0.00%,78488,4823,2994,2492
98372,WA,84,24486,0.34%,24747,68,0.27%,-261,-383.82%,0.00%,110072,7523,35407,6689
98371,WA,76,21254,0.36%,21304,99,0.46%,-50,-50.51%,0.00%,113663,7405,33989,6816
98370,WA,46,34530,0.13%,34113,27,0.08%,417,1544.44%,0.00%,131583,10038,2349,6282
98368,WA,52,17216,0.30%,15596,33,0.21%,1620,4909.09%,0.00%,127257,7946,974,5659
98367,WA,94,27699,0.34%,27404,76,0.28%,295,388.16%,0.00%,105996,7568,4164,4507
98366,WA,172,32530,0.53%,32342,124,0.38%,188,151.61%,0.00%,85269,6068,5033,3095
98365,,16,5481,0.29%,5197,14,0.27%,284,2028.57%,0.00%,166155,8059,1984,8140
98363,,11,11822,0.09%,12278,32,0.26%,-456,-1425.00%,0.00%,176579,10665,37062,12060
98362,WA,48,22984,0.21%,22310,115,0.52%,674,586.09%,0.00%,130082,9017,3659,6143
98359,,7,4323,0.16%,5222,0,0.00%,-899,0.00%,0.00%,187653,9652,6033,9839
98355,,42,811,5.18%,857,0,0.00%,-46,0.00%,0.00%,134779,788,6033,5556
98354,WA,7,7771,0.09%,7380,0,0.00%,391,0.00%,0.00%,187653,10704,6033,9981
98349,WA,1,4832,0.02%,3770,1,0.03%,1062,106199.99%,0.00%,207192,11710,10,11692
98346,WA,146,10028,1.46%,11449,91,0.79%,-1421,-1561.54%,0.00%,90763,2883,37176,5030
98338,WA,96,25837,0.37%,23348,41,0.18%,2489,6070.73%,0.00%,105254,7270,800,4204
98335,WA,191,26068,0.73%,24914,217,0.87%,1154,531.80%,0.00%,81776,4964,3794,2708
98333,,10,3327,0.30%,4114,0,0.00%,-787,0.00%,0.00%,179075,7967,6033,9123
98332,WA,113,19773,0.57%,19484,142,0.73%,289,203.52%,0.00%,99614,5789,4792,3911
98331,WA,2,5278,0.04%,5431,2,0.04%,-153,-7650.00%,0.00%,203648,11513,38883,38646
98329,WA,72,10761,0.67%,11826,23,0.19%,-1065,-4630.43%,0.00%,115635,5264,38463,6947
98328,WA,22,9949,0.22%,10027,25,0.25%,-78,-312.00%,0.00%,156355,8875,35183,9633
98327,WA,43,9214,0.47%,7919,60,0.76%,1295,2158.33%,0.00%,133990,6511,1889,5959
98321,,47,13541,0.35%,13771,4,0.03%,-230,-5750.00%,0.00%,130841,7486,38671,8156
98315,WA,5,4554,0.11%,5171,4,0.08%,-617,-15425.00%,0.00%,193878,10409,39259,38408
98312,WA,67,28458,0.24%,31197,78,0.25%,-2739,-3511.54%,0.00%,118210,8705,38187,7537
98311,WA,191,25776,0.74%,28427,96,0.34%,-2651,-2761.46%,0.00%,81776,4919,37912,4785
98310,WA,107,20050,0.53%,20340,93,0.46%,-290,-311.83%,0.00%,101467,6031,35182,5944
98296,WA,404,26650,1.52%,30346,625,2.06%,-3696,-591.36%,0.01%,58940,2767,35886,2966
98295,WA,2,3331,0.06%,2390,5,0.21%,941,18820.00%,0.00%,203648,11155,192,11455
98292,WA,40,21739,0.18%,21008,35,0.17%,731,2088.57%,0.00%,136542,9334,1938,6476
98290,WA,50,36957,0.14%,36504,37,0.10%,453,1224.32%,0.00%,128647,10007,2655,6108
98284,WA,130,25635,0.51%,23919,113,0.47%,1716,1518.58%,0.00%,94720,6216,2373,3520
98282,WA,211,16518,1.28%,17251,132,0.77%,-733,-555.30%,0.00%,78488,3224,35816,4216
98281,WA,4,1341,0.30%,1231,15,1.22%,110,733.33%,0.00%,196976,7992,3371,10051
98279,,3,734,0.41%,687,2,0.29%,47,2350.00%,0.00%,200287,6943,1792,10034
98277,WA,131,36965,0.35%,35488,101,0.28%,1477,1462.38%,0.00%,94447,7430,2435,3648
98275,WA,1031,22271,4.63%,22677,1035,4.56%,-406,-39.23%,0.02%,36404,916,33912,1506
98274,WA,74,17679,0.42%,17308,32,0.18%,371,1159.37%,0.00%,114651,6871,2735,4889
98273,WA,32,30912,0.10%,30284,36,0.12%,628,1744.44%,0.00%,144181,10504,2191,7112
98272,WA,77,29471,0.26%,29154,47,0.16%,317,674.47%,0.00%,113180,8394,3473,5015
98271,WA,118,25351,0.47%,24618,44,0.18%,733,1665.91%,0.00%,98064,6522,2258,3744
98270,WA,352,49769,0.71%,48511,145,0.30%,1258,867.59%,0.01%,62694,5086,3145,1710
98264,WA,135,19954,0.68%,19619,205,1.04%,335,163.41%,0.00%,93422,5221,4975,3477
98261,WA,15,3193,0.47%,2855,15,0.53%,338,2253.33%,0.00%,168033,6481,1837,8049
98260,WA,51,6949,0.73%,6824,13,0.19%,125,961.54%,0.00%,127917,4962,2999,5459
98258,WA,178,47663,0.37%,31283,74,0.24%,16380,22135.14%,0.00%,84080,7257,156,2885
98257,WA,20,4418,0.45%,3941,20,0.51%,477,2385.00%,0.00%,159334,6611,1771,7574
98256,,6,333,1.80%,384,6,1.56%,-51,-850.00%,0.00%,190740,2321,36384,11760
98252,WA,50,10435,0.48%,9305,8,0.09%,1130,14125.00%,0.00%,128647,6416,283,5520
98250,WA,47,8497,0.55%,8026,25,0.31%,471,1884.00%,0.00%,130841,5896,2089,5698
98248,WA,25,23717,0.11%,24640,45,0.18%,-923,-2051.11%,0.00%,152390,10476,37536,9718
98247,WA,16,6390,0.25%,8769,25,0.29%,-2379,-9516.00%,0.00%,166155,8520,39036,11218
98245,WA,38,4184,0.91%,3811,30,0.79%,373,1243.33%,0.00%,138232,4223,2635,5985
98244,,6,2408,0.25%,2735,5,0.18%,-327,-6540.00%,0.00%,190740,8538,38770,38238
98239,WA,50,7672,0.65%,7290,1,0.01%,382,38200.00%,0.00%,128647,5350,64,5379
98236,WA,25,6410,0.39%,6414,21,0.33%,-4,-19.05%,0.00%,152390,7112,33755,9078
98233,WA,123,16116,0.76%,16525,133,0.80%,-409,-307.52%,0.00%,96659,4814,35169,5499
98230,WA,190,17144,1.11%,17269,177,1.02%,-125,-70.62%,0.00%,81951,3620,34137,4385
98229,WA,313,33907,0.92%,33275,256,0.77%,632,246.87%,0.01%,66162,4177,4605,1850
98226,WA,918,38845,2.36%,38067,548,1.44%,778,141.97%,0.02%,38798,1807,5078,568
98225,WA,741,47931,1.55%,51414,557,1.08%,-3483,-625.31%,0.02%,43461,2701,35957,2138
98223,WA,343,41653,0.82%,41780,260,0.62%,-127,-48.85%,0.01%,63386,4555,33977,3342
98221,WA,133,22027,0.60%,20696,118,0.57%,1331,1127.97%,0.00%,93942,5597,2776,3431
98208,WA,914,55818,1.64%,55636,877,1.58%,182,20.75%,0.02%,38897,2569,5848,647
98207,,32,1168,2.74%,1994,0,0.00%,-826,0.00%,0.00%,144181,1562,6033,6238
98204,WA,122,37952,0.32%,39758,266,0.67%,-1806,-678.95%,0.00%,96925,7765,36068,5934
98203,WA,331,34174,0.97%,35863,236,0.66%,-1689,-715.68%,0.01%,64460,4040,36138,3469
98201,WA,125,28995,0.43%,28172,169,0.60%,823,486.98%,0.00%,96092,6770,3905,3756
98199,WA,953,24978,3.82%,24841,622,2.50%,137,22.03%,0.02%,38031,1113,5842,531
98198,WA,470,34659,1.36%,34841,488,1.40%,-182,-37.30%,0.01%,54842,3064,33900,2681
98195,,418,2620,15.95%,0,0,NaN,2620,0.00%,0.01%,58016,157,6033,1191
98188,WA,650,22774,2.85%,21833,462,2.12%,941,203.68%,0.01%,46608,1503,4791,800
98178,WA,1992,20623,9.66%,21506,1248,5.80%,-883,-70.75%,0.05%,24948,348,34139,994
98177,WA,775,22519,3.44%,22382,552,2.47%,137,24.82%,0.02%,42402,1236,5819,670
98168,WA,128,32830,0.39%,32080,189,0.59%,750,396.83%,0.00%,95285,7113,4141,3762
98166,WA,123,24414,0.50%,22711,154,0.68%,1703,1105.84%,0.00%,96659,6243,2805,3660
98155,WA,1832,36993,4.95%,35937,1594,4.44%,1056,66.25%,0.04%,26188,835,5528,257
98148,WA,19,9394,0.20%,12450,49,0.39%,-3056,-6236.73%,0.00%,160988,9110,38729,10982
98146,WA,326,28336,1.15%,28127,242,0.86%,209,86.36%,0.01%,64879,3526,5387,1782
98144,WA,2547,27750,9.18%,28703,2670,9.30%,-953,-35.69%,0.06%,21403,371,33891,854
98136,WA,188,20583,0.91%,18659,85,0.46%,1924,2263.53%,0.00%,82309,4208,1831,2567
98134,WA,27,785,3.44%,803,14,1.74%,-18,-128.57%,0.00%,149908,1237,34451,8285
98133,WA,2137,51659,4.14%,47589,2458,5.17%,4070,165.58%,0.05%,23866,1040,4967,216
98126,WA,350,22228,1.57%,24734,372,1.50%,-2506,-673.66%,0.01%,62832,2645,36052,3197
98125,WA,2357,42888,5.50%,42194,2553,6.05%,694,27.18%,0.05%,22453,731,5787,204
98122,WA,1514,38939,3.89%,37295,994,2.67%,1644,165.39%,0.03%,29384,1096,4968,315
98121,WA,2235,22295,10.02%,20643,1465,7.10%,1652,112.76%,0.05%,23217,330,5213,195
98119,WA,1151,26473,4.35%,27514,732,2.66%,-1041,-142.21%,0.03%,34237,983,34520,1442
98118,WA,2854,42415,6.73%,41920,2784,6.64%,495,17.78%,0.06%,20000,559,5870,163
98117,WA,566,40526,1.40%,40824,754,1.85%,-298,-39.52%,0.01%,50016,2984,33915,2427
