zip,State,cohort_population,total_population,pop_density,total_population_2019,cohort_population_2019,pop_density_2019,cohort_pop_change,cohort_pop_change_pc,pc_total_ethnicity,c_p_rank,c_pd_rank,c_yoy_rank,zip_code_rank
7063,NJ,78,9876,0.79%,9072,75,0.83%,804,1072.00%,0.00%,112716,4692,2842,4483
7062,NJ,7,9548,0.07%,7414,7,0.09%,2134,30485.71%,0.00%,187653,10946,95,9654
7060,NJ,118,37498,0.31%,35632,120,0.34%,1866,1555.00%,0.00%,98064,7827,2338,3916
7059,NJ,1294,18349,7.05%,16878,1205,7.14%,1471,122.07%,0.03%,32088,530,5166,353
7058,NJ,313,6123,5.11%,5617,232,4.13%,506,218.10%,0.01%,66162,800,4721,1526
7057,NJ,44,11846,0.37%,11786,40,0.34%,60,150.00%,0.00%,133168,7274,5043,6203
7055,NJ,17,60344,0.03%,63236,17,0.03%,-2892,-17011.76%,0.00%,164328,11634,39281,11491
7054,NJ,2064,33514,6.16%,31209,1971,6.32%,2305,116.95%,0.05%,24413,618,5191,212
7052,NJ,759,39056,1.94%,39520,971,2.46%,-464,-47.79%,0.02%,42874,2172,33965,1963
7050,NJ,5,21369,0.02%,18246,4,0.02%,3123,78075.00%,0.00%,193878,11683,19,10926
7047,NJ,729,60841,1.20%,60245,517,0.86%,596,115.28%,0.02%,43891,3404,5199,852
7046,,371,5802,6.39%,5278,322,6.10%,524,162.73%,0.01%,61203,596,4980,1312
7045,NJ,1087,11931,9.11%,12509,793,6.34%,-578,-72.89%,0.02%,35392,374,34155,1424
7044,NJ,143,16562,0.86%,15997,280,1.75%,565,201.79%,0.00%,91470,4399,4797,3251
7043,NJ,176,14207,1.24%,13432,147,1.09%,775,527.21%,0.00%,84492,3312,3809,2686
7042,NJ,319,23210,1.37%,22160,362,1.63%,1050,290.06%,0.01%,65580,3025,4447,1714
7041,NJ,1039,7434,13.98%,6361,780,12.26%,1073,137.56%,0.02%,36239,199,5100,425
7040,NJ,149,22557,0.66%,20984,172,0.82%,1573,914.53%,0.00%,90054,5307,3068,3166
7039,NJ,3491,28885,12.09%,27031,3484,12.89%,1854,53.21%,0.08%,17602,254,5607,117
7036,NJ,232,38174,0.61%,36740,206,0.56%,1434,696.12%,0.01%,75468,5571,3445,2438
7035,NJ,112,11862,0.94%,12790,126,0.99%,-928,-736.51%,0.00%,99917,4117,36177,5674
7034,NJ,431,10999,3.92%,9602,280,2.92%,1397,498.93%,0.01%,57220,1090,3872,1133
7033,NJ,61,8523,0.72%,9974,77,0.77%,-1451,-1884.42%,0.00%,121614,5043,37439,7237
7032,NJ,663,41473,1.60%,42525,803,1.89%,-1052,-131.01%,0.02%,46114,2607,34469,2196
7031,NJ,170,18003,0.94%,17762,169,0.95%,241,142.60%,0.00%,85676,4116,5076,2901
7030,NJ,3048,63925,4.77%,58315,2279,3.91%,5610,246.16%,0.07%,19218,887,4608,139
7029,NJ,1486,22061,6.74%,20294,1498,7.38%,1767,117.96%,0.03%,29680,558,5187,303
7028,NJ,95,10298,0.92%,9016,110,1.22%,1282,1165.45%,0.00%,105643,4178,2726,3957
7027,NJ,23,5290,0.43%,4880,19,0.39%,410,2157.89%,0.00%,155040,6745,1890,7320
